time;item;state;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15
1777805215.1948152;muumi_cup_arabia;empty;0;0;0;0;0;0;10;37;0;0;352;1440;0;0;133;791
1777805228.2907484;muumi_cup_arabia;empty;0;0;0;0;0;83;0;0;0;1515;0;51;0;941;0;263
1777805238.4102068;muumi_cup_arabia;empty;0;0;0;0;0;125;5;0;0;418;94;0;0;807;1053;0
1777805244.949781;muumi_cup_arabia;empty;0;0;0;0;83;17;0;0;937;171;0;0;1149;439;0;0
1777805252.5038285;muumi_cup_arabia;empty;0;0;0;0;0;0;0;0;1141;608;0;0;151;1807;0;0
1777805259.0896106;muumi_cup_arabia;empty;0;0;0;0;0;0;0;0;1145;598;0;0;148;1816;0;0
1777805288.3159099;muumi_cup_arabia;empty;0;0;4;0;0;223;1065;581;0;220;197;59;0;96;733;1352
1777805295.3352194;muumi_cup_arabia;empty;0;0;0;0;0;0;1324;117;0;0;102;691;0;0;997;53
1777805300.902234;muumi_cup_arabia;empty;0;0;0;0;0;128;923;0;0;169;215;0;0;1691;900;0
1777805306.4110885;muumi_cup_arabia;empty;0;0;0;0;0;1567;105;0;0;267;1029;0;0;486;251;0
1777805311.9915178;muumi_cup_arabia;empty;0;0;0;0;45;1728;0;0;147;152;0;0;1408;29;0;0
1777805317.5328865;muumi_cup_arabia;empty;0;0;0;0;1076;92;0;0;176;683;0;0;1044;1329;0;0
1777805326.5835946;muumi_cup_arabia;empty;0;0;0;0;690;0;0;0;163;0;0;0;1241;0;0;0
1777805379.0340981;muumi_cup_arabia;empty;0;0;638;339;0;0;124;87;0;0;1144;986;0;0;2;0
1777805387.0677204;muumi_cup_arabia;empty;0;0;2;22;0;0;101;583;0;0;783;587;0;0;45;0
1777805401.6785216;muumi_cup_arabia;empty;0;0;21;0;0;0;794;0;0;0;1227;0;0;0;16;0
1777805416.312997;muumi_cup_arabia;empty;0;4;0;0;44;124;110;0;465;668;447;0;0;0;0;0
1777805430.4480696;muumi_cup_arabia;empty;0;0;0;0;82;91;0;0;992;819;0;0;0;0;0;0
1777805435.4868567;muumi_cup_arabia;empty;13;52;0;0;213;1044;0;0;582;551;0;0;9;0;0;0
1777805443.492886;muumi_cup_arabia;empty;880;0;0;0;225;0;0;0;0;0;0;0;0;0;0;0
